CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,Unnamed: 10,Unnamed: 11,hemisphere,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
TLEMTS-R_vs_CTL,L_bankssts,-0.218858574,0.149971758,-0.512797818,0.07508067,1228,322,0.144473773,0.203,,,lh,0.1677499689699687,0.0141021142412646,0.0840662703418397,566,-0.218858574
TLEMTS-R_vs_CTL,L_caudalanteriorcingulate,-0.022123014,0.077972734,-0.174946764,0.130700736,1287,337,0.776619167,0.837,,,lh,0.218059913852788,0.0183314836686667,0.0840662703418397,566,-0.022123014
TLEMTS-R_vs_CTL,L_caudalmiddlefrontal,-0.300518981,0.097941233,-0.49248027,-0.108557691,1292,338,0.00215237,0.00821,,,lh,0.1754537886883238,0.0147497456323726,0.0840662703418397,566,-0.300518981
TLEMTS-R_vs_CTL,L_cuneus,-0.286509144,0.136514962,-0.554073553,-0.018944735,1290,338,0.035839999,0.0716,,,lh,0.2156188068256477,0.0181262689053898,0.0840662703418397,566,-0.286509144
TLEMTS-R_vs_CTL,L_entorhinal,-0.113841429,0.075339079,-0.261503311,0.033820453,1050,252,0.130774652,0.2,,,lh,0.3470851322603475,0.0291781525602315,0.0840662703418397,566,-0.113841429
TLEMTS-R_vs_CTL,L_fusiform,-0.160962436,0.06391738,-0.286238199,-0.035686673,1287,337,0.011792651,0.031,,,lh,0.2208815572798723,0.0185686887078163,0.0840662703418397,566,-0.160962436
TLEMTS-R_vs_CTL,L_inferiorparietal,-0.236242122,0.125827095,-0.482858697,0.010374453,1281,336,0.060447692,0.101,,,lh,0.1391924238955952,0.011701387936743,0.0840662703418397,566,-0.236242122
TLEMTS-R_vs_CTL,L_inferiortemporal,-0.05846299,0.063797756,-0.183504294,0.066578314,1290,338,0.359467603,0.437,,,lh,0.1933617196161122,0.0162551985950111,0.0840662703418397,566,-0.05846299
TLEMTS-R_vs_CTL,L_isthmuscingulate,0.081219129,0.079117344,-0.073848017,0.236286275,1291,338,0.304625149,0.388,,,lh,0.2217328411887773,0.0186402529710399,0.0840662703418397,566,0.081219129
TLEMTS-R_vs_CTL,L_lateraloccipital,-0.251418855,0.123917664,-0.494293013,-0.008544697,1292,338,0.04246658,0.0811,,,lh,0.150791017775439,0.0126764384654312,0.0840662703418397,566,-0.251418855
TLEMTS-R_vs_CTL,L_lateralorbitofrontal,-0.0174911,0.076957573,-0.168325172,0.133342972,1288,338,0.820204178,0.856,,,lh,0.2366271707244036,0.0198923637043423,0.0840662703418397,566,
TLEMTS-R_vs_CTL,L_lingual,-0.383861994,0.137421187,-0.653202571,-0.114521418,1291,338,0.00521693,0.0162,,,lh,0.2512365800286637,0.0211205222564488,0.0840662703418397,566,-0.383861994
TLEMTS-R_vs_CTL,L_medialorbitofrontal,0.082401707,0.063945622,-0.04292941,0.207732823,1274,336,0.19752969,0.273,,,lh,0.2975518992888137,0.0250140784063412,0.0840662703418397,566,0.082401707
TLEMTS-R_vs_CTL,L_middletemporal,-0.111922786,0.110975749,-0.329431257,0.105585686,1190,320,0.313198305,0.392,,,lh,0.1657611287649302,0.0139349198629211,0.0840662703418397,566,-0.111922786
TLEMTS-R_vs_CTL,L_parahippocampal,-0.015255102,0.082004572,-0.17598111,0.145470905,1283,337,0.852423228,0.862,,,lh,0.1422978600733205,0.011962450373989,0.0840662703418397,566,-0.015255102
TLEMTS-R_vs_CTL,L_paracentral,-0.504805807,0.102114629,-0.704946803,-0.304664811,1292,338,7.67e-07,9.2e-06,,,lh,0.2092279907162433,0.0175890168306316,0.0840662703418397,566,-0.504805807
TLEMTS-R_vs_CTL,L_parsopercularis,-0.153350643,0.104651803,-0.358464407,0.051763121,1290,338,0.142827734,0.203,,,lh,0.1716496166533328,0.0144299430776522,0.0840662703418397,566,-0.153350643
TLEMTS-R_vs_CTL,L_parsorbitalis,-0.189202534,0.09764797,-0.380589037,0.00218397,1292,338,0.052672258,0.0975,,,lh,0.2587111955052084,0.0217488853018013,0.0840662703418397,566,-0.189202534
TLEMTS-R_vs_CTL,L_parstriangularis,-0.150894688,0.103090289,-0.352947942,0.051158567,1292,338,0.143272141,0.203,,,lh,0.1949399530679564,0.0163878747950363,0.0840662703418397,566,-0.150894688
TLEMTS-R_vs_CTL,L_pericalcarine,-0.257852817,0.163021754,-0.577369583,0.06166395,1292,338,0.113716239,0.177,,,lh,0.2585784996498571,0.0217377300561521,0.0840662703418397,566,-0.257852817
TLEMTS-R_vs_CTL,L_postcentral,-0.332823569,0.147801734,-0.622509645,-0.043137493,1289,338,0.024333364,0.0523,,,lh,0.199377733290489,0.0167609424269414,0.0840662703418397,566,-0.332823569
TLEMTS-R_vs_CTL,L_posteriorcingulate,-0.057144597,0.06369386,-0.181982268,0.067693074,1292,338,0.369625052,0.439,,,lh,0.2106677030334901,0.0177100480755077,0.0840662703418397,566,-0.057144597
TLEMTS-R_vs_CTL,L_precentral,-0.415305941,0.090362038,-0.592412281,-0.238199602,1287,338,4.31e-06,4.02e-05,,,lh,0.1935317282877348,0.0162694905899601,0.0840662703418397,566,-0.415305941
TLEMTS-R_vs_CTL,L_precuneus,-0.383084963,0.112308508,-0.603205593,-0.162964332,1291,338,0.000647237,0.00272,,,lh,0.126809392921902,0.0106603927072571,0.0840662703418397,566,-0.383084963
TLEMTS-R_vs_CTL,L_rostralanteriorcingulate,0.003072009,0.091402075,-0.176072765,0.182216784,1287,335,0.973188272,0.973,,,lh,0.2847491307873482,0.023937797408373,0.0840662703418397,566,
TLEMTS-R_vs_CTL,L_rostralmiddlefrontal,-0.155530249,0.122556221,-0.395736027,0.08467553,1292,337,0.204422425,0.276,,,lh,0.1904773538965046,0.0160127207266618,0.0840662703418397,566,-0.155530249
TLEMTS-R_vs_CTL,L_superiorfrontal,-0.354549858,0.093891533,-0.538573882,-0.170525835,1291,337,0.000159262,0.00109,,,lh,0.1328707621220815,0.0111699494090811,0.0840662703418397,566,-0.354549858
TLEMTS-R_vs_CTL,L_superiorparietal,-0.401342167,0.124530083,-0.645416644,-0.157267689,1289,338,0.001269206,0.00508,,,lh,0.1100478085145132,0.009251308821108,0.0840662703418397,566,-0.401342167
TLEMTS-R_vs_CTL,L_superiortemporal,-0.137005883,0.123546528,-0.379152629,0.105140862,1177,315,0.26745538,0.356,,,lh,0.1265950172830762,0.0106423709468489,0.0840662703418397,566,-0.137005883
TLEMTS-R_vs_CTL,L_supramarginal,-0.359753923,0.097515073,-0.550879955,-0.168627892,1248,321,0.000224948,0.00116,,,lh,0.1404931953924528,0.0118107389450508,0.0840662703418397,566,-0.359753923
TLEMTS-R_vs_CTL,L_frontalpole,-0.077815245,0.086960402,-0.248254502,0.092624012,1290,338,0.370875093,0.439,,,lh,0.3411370206396308,0.0286781170007009,0.0840662703418397,566,-0.077815245
TLEMTS-R_vs_CTL,L_temporalpole,-0.146454165,0.071879191,-0.287334791,-0.005573539,1287,337,0.041599527,0.0811,,,lh,0.3659236503865297,0.0307618365178668,0.0840662703418397,566,-0.146454165
TLEMTS-R_vs_CTL,L_transversetemporal,-0.312116908,0.073464331,-0.456104352,-0.168129464,1289,338,2.15e-05,0.000181,,,lh,0.1963435664784497,0.0165058713394583,0.0840662703418397,566,-0.312116908
TLEMTS-R_vs_CTL,L_insula,-0.023368524,0.064441478,-0.149671501,0.102934452,1254,332,0.716880009,0.803,,,lh,0.2979220600227138,0.0250451964386672,0.0840662703418397,566,
TLEMTS-R_vs_CTL,R_bankssts,-0.179203274,0.093306708,-0.362081061,0.003674513,1263,333,0.054784304,0.0975,,,rh,0.1536287554440104,0.0129149964874365,0.0840662703418397,566,-0.179203274
TLEMTS-R_vs_CTL,R_caudalanteriorcingulate,0.060487077,0.120939733,-0.176550444,0.297524597,1294,337,0.616974881,0.7,,,rh,0.2350681400014791,0.0197613018061177,0.0840662703418397,566,0.060487077
TLEMTS-R_vs_CTL,R_caudalmiddlefrontal,-0.305097785,0.084445964,-0.470608832,-0.139586737,1296,338,0.000302751,0.00141,,,rh,0.1702107887215876,0.0143089861797667,0.0840662703418397,566,-0.305097785
TLEMTS-R_vs_CTL,R_cuneus,-0.246824349,0.084024026,-0.411508414,-0.082140284,1293,338,0.003308223,0.0121,,,rh,0.2122877463903903,0.0178462390783144,0.0840662703418397,566,-0.246824349
TLEMTS-R_vs_CTL,R_entorhinal,-0.180973511,0.100701025,-0.378343893,0.016396872,1017,240,0.072313916,0.119,,,rh,0.3352514800022718,0.0281833415503728,0.0840662703418397,566,-0.180973511
TLEMTS-R_vs_CTL,R_fusiform,-0.168512275,0.075217014,-0.315934914,-0.021089636,1292,338,0.02506835,0.0527,,,rh,0.2034839228323567,0.0171061344670429,0.0840662703418397,566,-0.168512275
TLEMTS-R_vs_CTL,R_inferiorparietal,-0.244391558,0.141471974,-0.521671531,0.032888415,1285,338,0.084079524,0.136,,,rh,0.1405377550286479,0.0118144849074735,0.0840662703418397,566,-0.244391558
TLEMTS-R_vs_CTL,R_inferiortemporal,-0.111150416,0.102205436,-0.311469389,0.089168557,1294,338,0.276807236,0.364,,,rh,0.1805068050042792,0.0151745338680314,0.0840662703418397,566,-0.111150416
TLEMTS-R_vs_CTL,R_isthmuscingulate,0.143739088,0.098523628,-0.049363675,0.336841852,1293,338,0.144584344,0.203,,,rh,0.2190895128698919,0.0184180382179823,0.0840662703418397,566,0.143739088
TLEMTS-R_vs_CTL,R_lateraloccipital,-0.365841697,0.097654965,-0.557241911,-0.174441484,1295,338,0.000179485,0.00109,,,rh,0.1527599967767905,0.0128419631864562,0.0840662703418397,566,-0.365841697
TLEMTS-R_vs_CTL,R_lateralorbitofrontal,0.026132125,0.077414202,-0.125596923,0.177861174,1293,338,0.735692967,0.813,,,rh,0.295510157032316,0.0248424367498381,0.0840662703418397,566,0.026132125
TLEMTS-R_vs_CTL,R_lingual,-0.277255934,0.075386129,-0.425010031,-0.129501837,1295,338,0.000235244,0.00116,,,rh,0.2618941957956546,0.0220164682647162,0.0840662703418397,566,-0.277255934
TLEMTS-R_vs_CTL,R_medialorbitofrontal,0.147698266,0.09041354,-0.029509017,0.324905549,1278,336,0.102345875,0.162,,,rh,0.2375504326145587,0.0199699788879964,0.0840662703418397,566,0.147698266
TLEMTS-R_vs_CTL,R_middletemporal,-0.160946013,0.109403161,-0.375372268,0.053480241,1284,337,0.141256602,0.203,,,rh,0.1423913317327906,0.0119703081877833,0.0840662703418397,566,-0.160946013
TLEMTS-R_vs_CTL,R_parahippocampal,-0.175258261,0.063840647,-0.300383629,-0.050132892,1292,338,0.006046561,0.0179,,,rh,0.1480602523901322,0.0124468732043098,0.0840662703418397,566,-0.175258261
TLEMTS-R_vs_CTL,R_paracentral,-0.421445815,0.064463232,-0.547791428,-0.295100203,1296,338,6.24e-11,1.31e-09,,,rh,0.1977158503219996,0.0166212341240359,0.0840662703418397,566,-0.421445815
TLEMTS-R_vs_CTL,R_parsopercularis,-0.271133354,0.071354623,-0.410985845,-0.131280864,1295,338,0.000144812,0.00109,,,rh,0.1847184268977523,0.0155285892127058,0.0840662703418397,566,-0.271133354
TLEMTS-R_vs_CTL,R_parsorbitalis,-0.154598942,0.155570901,-0.459512305,0.15031442,1296,338,0.320343468,0.395,,,rh,0.2586197940884171,0.0217412015255877,0.0840662703418397,566,-0.154598942
TLEMTS-R_vs_CTL,R_parstriangularis,-0.165212745,0.08576701,-0.333312995,0.002887505,1294,337,0.054067283,0.0975,,,rh,0.2358975534310017,0.0198310274997091,0.0840662703418397,566,-0.165212745
TLEMTS-R_vs_CTL,R_pericalcarine,-0.228145761,0.08009712,-0.385133231,-0.071158291,1296,338,0.004394462,0.0148,,,rh,0.2830759246000826,0.0237971372046967,0.0840662703418397,566,-0.228145761
TLEMTS-R_vs_CTL,R_postcentral,-0.357218146,0.151951752,-0.655038107,-0.059398184,1292,338,0.018729798,0.0436,,,rh,0.1921778600495427,0.0161556759366411,0.0840662703418397,566,-0.357218146
TLEMTS-R_vs_CTL,R_posteriorcingulate,-0.086587631,0.104452871,-0.291311497,0.118136234,1296,337,0.407124986,0.475,,,rh,0.2301949813449113,0.019351633533076,0.0840662703418397,566,-0.086587631
TLEMTS-R_vs_CTL,R_precentral,-0.519588322,0.085553463,-0.687270028,-0.351906616,1293,337,1.25e-09,2.1e-08,,,rh,0.2035026362683715,0.017107707635814,0.0840662703418397,566,-0.519588322
TLEMTS-R_vs_CTL,R_precuneus,-0.459199828,0.122898694,-0.700076843,-0.218322814,1296,338,0.000186667,0.00109,,,rh,0.1371260823850131,0.0115276783126959,0.0840662703418397,566,-0.459199828
TLEMTS-R_vs_CTL,R_rostralanteriorcingulate,0.254182395,0.105803598,0.046811154,0.461553636,1296,337,0.016287958,0.0403,,,rh,0.2610519448956334,0.0219456633728593,0.0840662703418397,566,0.254182395
TLEMTS-R_vs_CTL,R_rostralmiddlefrontal,-0.025975932,0.104626271,-0.231039654,0.179087791,1296,338,0.803922792,0.855,,,rh,0.1926313119233477,0.0161937959444514,0.0840662703418397,566,-0.025975932
TLEMTS-R_vs_CTL,R_superiorfrontal,-0.298172221,0.117842297,-0.529138879,-0.067205563,1293,338,0.011397646,0.0309,,,rh,0.1430466106927704,0.0120253950459823,0.0840662703418397,566,-0.298172221
TLEMTS-R_vs_CTL,R_superiorparietal,-0.48846511,0.174141777,-0.829776722,-0.147153498,1295,338,0.005031889,0.0162,,,rh,0.108187091624542,0.0090948852920061,0.0840662703418397,566,-0.48846511
TLEMTS-R_vs_CTL,R_superiortemporal,-0.226017753,0.098773293,-0.419609849,-0.032425657,1197,322,0.022123104,0.0502,,,rh,0.1133765729852085,0.0095311456350058,0.0840662703418397,566,-0.226017753
TLEMTS-R_vs_CTL,R_supramarginal,-0.273207804,0.10007888,-0.469358805,-0.077056804,1240,326,0.00633488,0.0179,,,rh,0.1353690065971711,0.011379967504504,0.0840662703418397,566,-0.273207804
TLEMTS-R_vs_CTL,R_frontalpole,-0.028620406,0.100363245,-0.225328751,0.168087939,1296,338,0.77551528,0.837,,,rh,0.3307414511871543,0.0278042002487517,0.0840662703418397,566,-0.028620406
TLEMTS-R_vs_CTL,R_temporalpole,-0.281360888,0.103208603,-0.483646032,-0.079075744,1291,333,0.006408021,0.0179,,,rh,0.3197440255988185,0.0268796876961784,0.0840662703418397,566,-0.281360888
TLEMTS-R_vs_CTL,R_transversetemporal,-0.237940728,0.063854914,-0.363094061,-0.112787396,1296,338,0.000194333,0.00109,,,rh,0.1937168517109299,0.0162850532257011,0.0840662703418397,566,-0.237940728
TLEMTS-R_vs_CTL,R_insula,-0.108997421,0.102843079,-0.310566152,0.09257131,1257,333,0.289216458,0.373,,,rh,0.3165856631519613,0.0266141759448833,0.0840662703418397,566,-0.108997421
